Customer_ID,Recency,Frequency,Monetary,Items_Purchased
1,21,43,441,"Fish, Crackers"
2,4,48,290,"Cheese, Rice, Soda"
3,1,12,237,"Orange, Croissant, Cheese, Juice, Pork, Bread"
4,24,8,244,"Crackers, Cereal, Butter, Banana, Grapes, Apple"
5,9,1,165,"Nuts, Bagel, Cookies"
6,8,46,300,"Bagel, Tomato, Spinach"
7,8,9,77,"Tomato, Carrot, Banana, Milk, Beef"
8,5,45,469,"Spinach, Cheese, Pasta"
9,24,1,414,"Oats, Butter, Juice, Milk, Spinach, Orange"
10,4,11,166,"Spinach, Crackers, Cake, Milk"
11,22,32,97,"Juice, Beef, Crackers, Milk"
12,24,23,414,"Fish, Oats"
13,29,34,143,"Croissant, Tea, Pork"
14,18,34,126,"Oats, Milk"
15,3,47,257,"Carrot, Orange, Cereal"
16,19,17,200,"Nuts, Spinach, Fish, Juice, Broccoli"
17,14,11,157,"Rice, Soda"
18,2,24,404,"Crackers, Fish, Milk"
19,1,9,442,"Apple, Bagel, Tomato, Cheese"
20,3,48,34,"Beef, Pork, Cookies"
21,7,50,85,"Soda, Apple"
22,8,18,190,"Broccoli, Bagel, Pork, Oats, Coffee"
23,17,47,155,"Beef, Chicken, Coffee, Bagel"
24,20,8,243,"Butter, Coffee"
25,1,50,499,"Crackers, Milk, Grapes"
26,18,2,95,"Cookies, Fish"
27,7,22,326,"Milk, Banana, Grapes, Tea, Rice, Pasta"
28,23,28,483,"Fish, Grapes"
29,21,18,92,"Tea, Nuts, Carrot, Croissant, Bagel, Coffee"
30,23,34,374,"Carrot, Grapes"
31,18,5,284,"Apple, Cereal, Cake, Juice, Tea"
32,14,17,156,"Bagel, Coffee, Beef"
33,8,46,103,"Broccoli, Apple"
34,15,37,99,"Fish, Butter, Apple"
35,19,41,439,"Yogurt, Chicken"
36,9,5,372,"Spinach, Orange, Cookies, Fish, Cereal"
37,26,32,364,"Fish, Yogurt"
38,28,30,473,"Bagel, Broccoli, Nuts, Crackers"
39,1,33,351,"Grapes, Chips, Yogurt, Juice, Cheese"
40,25,24,416,"Yogurt, Chips"
41,26,4,88,"Tomato, Cereal, Broccoli"
42,6,32,92,"Cake, Banana, Croissant, Coffee, Grapes, Juice"
43,23,37,131,"Spinach, Bagel, Cake, Milk"
44,14,11,69,"Coffee, Soda, Juice, Nuts, Beef, Pasta"
45,11,24,31,"Nuts, Bagel, Chips, Coffee, Cake, Tomato"
46,9,11,172,"Croissant, Cake, Coffee, Bagel, Cheese"
47,5,17,304,"Apple, Cake, Crackers, Orange, Yogurt, Cheese"
48,7,50,74,"Cookies, Tea, Nuts, Grapes, Chicken, Cake"
49,25,7,235,"Tea, Butter, Bread, Cake, Banana, Broccoli"
50,11,37,143,"Crackers, Nuts, Rice, Bagel"
51,4,44,199,"Bread, Cereal, Pork, Butter, Soda"
52,3,47,104,"Broccoli, Crackers, Bread, Tea, Butter, Tomato"
53,13,8,115,"Apple, Beef"
54,4,15,297,"Bread, Soda, Rice, Chicken, Beef"
55,12,48,372,"Broccoli, Cake, Croissant, Milk, Pasta, Tomato"
56,28,33,27,"Milk, Pasta, Carrot"
57,12,1,350,"Orange, Tomato, Broccoli, Bagel"
58,20,3,172,"Orange, Cheese, Grapes"
59,9,1,186,"Cheese, Tea, Broccoli, Coffee"
60,26,16,85,"Yogurt, Grapes, Banana, Bagel"
61,2,3,200,"Crackers, Nuts"
62,24,31,239,"Croissant, Carrot, Coffee, Pork"
63,15,24,286,"Tomato, Soda, Butter, Chips, Pork, Milk"
64,18,25,93,"Orange, Broccoli, Juice, Carrot"
65,4,10,283,"Cake, Chicken"
66,30,12,164,"Banana, Rice, Orange, Chips"
67,13,3,72,"Banana, Beef, Tea, Rice"
68,3,36,481,"Fish, Nuts, Tea"
69,18,46,22,"Croissant, Oats, Juice, Pasta, Apple"
